Rank,Mark,Wind,Competitor,Age,Nat,Pos,Venue,Date,ResultScore,href,Avg Speed kph,Record Age
217,10.28,1.2,Elviano JOHNSON,17.0,RSA,1h3,"Bestmed Tuks Stadium, Pretoria (RSA)",2020-03-14,1112,/athletes/athlete=371283,35.01945525291829,17.0
238,10.29,1.4,Peter RADFORD,80.0,GBR,1,Colombes (FRA),1958-09-13,1108,/athletes/great-britain-ni/peter-radford-014357209,34.98542274052479,19.0
238,10.29,2.0,Bruno MARIE-ROSE,55.0,FRA,1sf1,Villeneuve d'Ascq (FRA),1984-06-30,1108,/athletes/athlete=1731,34.98542274052479,19.0
238,10.29,2.0,Lorenzo DANIEL,54.0,USA,3,"Starkville, MS (USA)",1985-05-18,1108,/athletes/athlete=612,34.98542274052479,19.0
238,10.29,0.5,Olapade ADENIKEN,50.0,NGR,1,Bern (SUI),1988-08-23,1108,/athletes/athlete=23,34.98542274052479,19.0
238,10.29,1.6,Kelvin KELLY,42.0,USA,2,"Fayetteville, AR (USA)",1996-04-13,1108,/athletes/united-states/kelvin-kelly-014242778,34.98542274052479,18.0
238,10.29,1.2,Shingo KAWABATA,42.0,JPN,1,Hiroshima (JPN),1996-10-13,1108,/athletes/athlete=173569,34.98542274052479,19.0
238,10.29,1.2,Matt SHIRVINGTON,41.0,AUS,1,Sydney (AUS),1997-10-12,1108,/athletes/athlete=131013,34.98542274052479,19.0
238,10.29,1.6,Leonard SCOTT,40.0,USA,sf,"Boise, ID (USA)",1999-06-04,1108,/athletes/athlete=136996,34.98542274052479,19.0
238,10.29,2.0,Nicholas JOHNSON,36.0,USA,3,"Denton, TX (USA)",2000-06-23,1108,/athletes/athlete=176639,34.98542274052479,16.0
238,10.29,1.0,Carlos MOORE,36.0,USA,1,"Walnut, CA (USA)",2003-04-11,1108,/athletes/athlete=192160,34.98542274052479,19.0
238,10.29,1.2,Earvin PARKER,36.0,USA,2,"Austin, TX (USA)",2003-05-10,1108,/athletes/athlete=189791,34.98542274052479,19.0
238,10.29,0.8,Churandy MARTINA,36.0,AHO,2h5,St. George's (GRN),2003-07-04,1108,/athletes/athlete=170105,34.98542274052479,19.0
238,10.29,1.0,Remaldo ROSE,32.0,JAM,1,Kingston (JAM),2006-03-18,1108,/athletes/athlete=195981,34.98542274052479,18.0
238,10.29,1.0,Johathan DAVIS,32.0,BAH,1,"Mobile, AL (USA)",2007-04-14,1108,/athletes/athlete=227754,34.98542274052479,19.0
238,10.29,1.3,Michael GRANGER,29.0,USA,5,"Knoxville, TN (USA)",2010-05-16,1108,/athletes/athlete=244857,34.98542274052479,19.0
238,10.29,0.7,Roberto SKYERS,28.0,CUB,1f2,Belém (BRA),2010-05-19,1108,/athletes/athlete=236510,34.98542274052479,18.0
238,10.29,1.5,David BOLARINWA,26.0,GBR,1,Bedford (GBR),2011-05-29,1108,/athletes/athlete=256399,34.98542274052479,17.0
238,10.29,1.9,Baboloki THEBE,23.0,BOT,1,Gaborone (BOT),2015-05-23,1108,/athletes/athlete=284380,34.98542274052479,18.0
238,10.29,-0.8,Kenta OSHIMA,22.0,JPN,1,Wakayama (JPN),2015-07-30,1112,/athletes/athlete=285678,34.98542274052479,18.0
238,10.29,-0.3,Chun-Han YANG,23.0,TPE,1,Kaohsiung (TPE),2015-10-19,1109,/athletes/athlete=282909,34.98542274052479,19.0
238,10.29,2.0,Badrul Hisham ABDUL MANAP,23.0,MAS,1,B.S.Begawan (BRU),2015-11-23,1108,/athletes/athlete=284240,34.98542274052479,19.0
238,10.29,2.0,Vasyl MAKUKH,20.0,UKR,1,Lutsk (UKR),2018-06-02,1108,/athletes/athlete=313341,34.98542274052479,18.0
238,10.29,1.9,Buruno DEDE,20.0,JPN,1f1,Shizuoka (JPN),2018-08-26,1108,/athletes/athlete=429828,34.98542274052479,19.0
238,10.29,-0.5,Sinesipho DAMBILE,18.0,RSA,2,"Bestmed Tuks Stadium, Pretoria (RSA)",2020-03-14,1111,/athletes/athlete=370831,34.98542274052479,18.0
263,10.3,0.4,Derald HARRIS,62.0,USA,1,"Fresno, CA (USA)",1977-05-07,1105,/athletes/united-states/derald-harris-014344221,34.95145631067961,19.0
263,10.3,-0.1,Quincy WATTS,50.0,USA,1,"Provo, UT (USA)",1987-07-25,1105,/athletes/athlete=4118,34.95145631067961,18.0
263,10.3,1.8,Aleksandr SOKOLOV,49.0,URS,1,Moskva (URS),1990-06-14,1105,/athletes/athlete=4086,34.95145631067961,19.0
263,10.3,1.6,Takeshi ARAKAWA,46.0,JPN,1,Shizuoka (JPN),1991-08-03,1105,/athletes/athlete=12360,34.95145631067961,18.0
263,10.3,2.0,Riley WASHINGTON,46.0,USA,1,"Norwalk, CA (USA)",1992-06-06,1105,/athletes/united-states/riley-washington-014254329,34.95145631067961,18.0
263,10.3,1.2,Carlton CHAMBERS,45.0,CAN,5,"Estadio Universitario, Lisboa (POR)",1994-07-21,1105,/athletes/athlete=130436,34.95145631067961,20.0
263,10.3,1.0,Sybrand VAN DYK,34.0,RSA,1,Germiston (RSA),2002-03-09,1105,/athletes/south-africa/sybrand-van-dyk-014221381,34.95145631067961,16.0
263,10.3,0.6,Masaya AIKAWA,36.0,JPN,1,Naka (JPN),2002-08-03,1105,/athletes/athlete=184273,34.95145631067961,19.0
263,10.3,0.1,Yongyi WEN,33.0,CHN,1,Bangkok (THA),2006-05-18,1105,/athletes/athlete=199655,34.95145631067961,19.0
263,10.3,1.5,Gordon MCKENZIE,32.0,USA,2,"Indianapolis, IN (USA)",2006-06-22,1105,/athletes/athlete=221702,34.95145631067961,18.0
263,10.3,-1.7,Jeremy HALL,32.0,USA,1,"Tucson, AZ (USA)",2007-03-24,1115,/athletes/athlete=231865,34.95145631067961,19.0
263,10.3,1.7,Randall CARROLL,29.0,USA,1,"Garden City, NY (USA)",2009-05-07,1105,/athletes/athlete=236121,34.95145631067961,18.0
263,10.3,1.5,Rakieem SALAAM,30.0,USA,3h3,"Norman, OK (USA)",2009-05-29,1105,/athletes/athlete=242314,34.95145631067961,19.0
263,10.3,0.7,Diego CAVALCANTI,29.0,BRA,3,Port-of-Spain (TTO),2009-07-31,1105,/athletes/athlete=236043,34.95145631067961,19.0
263,10.3,1.8,Joeal HOTCHKINS,29.0,USA,4f1,"Walnut, CA (USA)",2010-06-06,1105,/athletes/athlete=250845,34.95145631067961,19.0
263,10.3,1.5,Deji TOBAIS,28.0,GBR,2f1,Mannheim (GER),2010-07-03,1105,/athletes/athlete=243921,34.95145631067961,18.0
263,10.3,0.6,Ayodele TAFFE,25.0,TTO,1,Port-of-Spain (TTO),2013-06-01,1105,/athletes/athlete=258403,34.95145631067961,18.0
263,10.3,1.4,Thando ROTO,24.0,RSA,6,Pretoria (RSA),2014-04-12,1105,/athletes/athlete=280753,34.95145631067961,18.0
263,10.3,1.0,Divine ODUDURU,23.0,NGR,2h4,Calabar (NGR),2014-06-19,1105,/athletes/athlete=280594,34.95145631067961,17.0
263,10.3,1.5,Hakim MONTGOMERY,23.0,USA,2,"Lafayette, LA (USA)",2016-05-15,1105,/athletes/athlete=310422,34.95145631067961,19.0
263,10.3,1.7,TJ BROCK,22.0,USA,2h3,"Austin, TX (USA)",2017-03-30,1105,/athletes/united-states/tj-brock-014641174,34.95145631067961,19.0
263,10.3,1.9,Yusuke TANAKA,22.0,JPN,2,Hiratsuka (JPN),2017-06-10,1105,/athletes/athlete=320096,34.95145631067961,19.0
263,10.3,1.5,Michael BENTLEY,21.0,JAM,1,Kingston (JAM),2018-06-22,1105,/athletes/athlete=297368,34.95145631067961,19.0
263,10.3,1.6,Arian SMITH,18.0,USA,1h2,"Hollywood, FL (USA)",2019-06-22,1105,/athletes/athlete=393438,34.95145631067961,17.0
